"clause_text","clause_type","risk_level"
"Any dispute, controversy or claim arising out of or in connection with this Agreement, including any question regarding its existence, validity or termination, shall be referred to and finally resolved by arbitration under the Arbitration and Conciliation Act, 1996. The seat of arbitration shall be Mumbai.","Arbitration","medium"
"All disputes arising between the Parties under this Agreement which cannot be resolved by mutual negotiation within thirty (30) days shall be submitted to a sole arbitrator mutually appointed by both Parties. The arbitration proceedings shall be conducted in accordance with the Arbitration and Conciliation Act, 1996 and the seat shall be New Delhi.","Arbitration","medium"
"In the event of any dispute or difference arising out of or relating to this Agreement, the same shall be referred to a panel of three (3) arbitrators, one to be appointed by each Party and the third to be appointed by the two appointed arbitrators. The seat of arbitration shall be Bengaluru.","Arbitration","medium"
"Any dispute that remains unresolved after thirty (30) days of written notice shall be settled by binding arbitration administered by the Mumbai Centre for International Arbitration (MCIA) under its Rules. The seat of arbitration shall be Mumbai and the language shall be English.","Arbitration","medium"
"Disputes arising out of this Agreement shall be resolved by arbitration under the Arbitration and Conciliation Act, 1996. The arbitral tribunal shall consist of a sole arbitrator appointed by the Parties by mutual consent, failing which by the High Court of Delhi.","Arbitration","medium"
"Any controversy or claim arising out of or relating to this Agreement shall be submitted to arbitration in Chennai under the Arbitration and Conciliation Act, 1996. The arbitration shall be conducted in the English language and the award shall be final and binding on the Parties.","Arbitration","medium"
"The Parties agree that any dispute shall be resolved by arbitration conducted at Hyderabad in accordance with the Arbitration and Conciliation Act, 1996. A sole arbitrator shall be appointed by the Parties within fifteen (15) days of the dispute arising, failing which the appointment shall be made by the High Court of Andhra Pradesh.","Arbitration","medium"
"All disputes and differences arising under or in connection with this Agreement shall be referred to arbitration under the ICADR Arbitration Rules. The seat of arbitration shall be Pune and the proceedings shall be conducted in English.","Arbitration","medium"
"Any dispute between the Parties shall be referred to arbitration. The arbitration shall be conducted by a sole arbitrator in accordance with the provisions of the Arbitration and Conciliation Act, 1996, as amended from time to time. The seat of arbitration shall be Kolkata.","Arbitration","medium"
"Disputes that cannot be resolved by the senior management of both Parties within forty-five (45) days of written notice shall be referred to final and binding arbitration at Ahmedabad under the Arbitration and Conciliation Act, 1996.","Arbitration","medium"
"Any unresolved dispute arising from or related to this Agreement shall be finally decided by arbitration before a panel of three arbitrators pursuant to the Arbitration and Conciliation Act, 1996. Each Party shall nominate one arbitrator and the two nominated arbitrators shall jointly appoint the presiding arbitrator. The seat shall be Mumbai.","Arbitration","medium"
"The Parties shall attempt to resolve any dispute by good-faith negotiation for a period of thirty (30) days. If the dispute remains unresolved, it shall be submitted to arbitration under the Arbitration and Conciliation Act, 1996 at New Delhi. The arbitral award shall be final, binding and enforceable in any court of competent jurisdiction.","Arbitration","medium"
